,Customer Care Address,Manufacturer,discount,image,productname,selling_price,stylist_notes,sub_category,Colour,Design,Design Length,Design Width,Gross Weight,Material,Sales Package,Surface Finish,Theme,Width,Length,Age Group,Alarm Clock,Case Color,Case Material,Case Shape,Dial Color,Disclamer,Gender,Glass Material,Strap Color,Strap Material,Warranty,Warranty Instructions,Warranty Time,Earring Length,Earring Width,Gemstone Colour,Necklace Length,Chain Length,Pendant Length,Pendant Width,Necklace Width,Size,Stone Weight,Gold Weight,Stone-Weight,Diamond Weight,Hath Phool Bracelet Length,Hath Phool Design Length,Hath Phool Design Width,Hath Phool Length,Hath Phool Ring Design Length,Hath Phool Ring Design Width,Long Necklace Design Length,Long Necklace Design Width,Long Necklace Length,Long Necklace Pendant Length,Long Necklace Pendant Width,Maang Tika Design Length,Small Necklace Design Length,Small Necklace Diameter,Small Necklace Length,Small Necklace Pendant Length,Small Necklace Pendant Width,Small Necklace Width,Maang Tika Chain Length,Maang Tika Side Chain Length,Small Necklace Design Width,Diameter
10,"Voylla Fashions Pvt Ltd J 449-450., RIICO Industrial Area Sitapura Near Chatrala Circle Jaipur, Rajasthan-302022; Phone: +91 76761 11022; Email: help@voylla.com","Voylla Fashions Pvt Ltd, Address: J 449-450., RIICO Industrial Area Sitapura Near Chatrala Circle Jaipur, Rajasthan-302022; Phone: +91 76761 11022; Email: help@voylla.com",1600.0,"['https://images.voylla.com/i/885385/large/southern-bling-lakshmi-motif-hair-accessory-stbom20229-ms-20190823-25986-1ni4wu5.jpg', 'https://images.voylla.com/i/885386/large/southern-bling-lakshmi-motif-hair-accessory-stbom20229-20190823-25986-f27dcb.jpg', 'https://images.voylla.com/i/885387/large/southern-bling-lakshmi-motif-hair-accessory-stbom20229-20190823-25986-17ttu7h.jpg', 'https://images.voylla.com/i/885388/large/southern-bling-lakshmi-motif-hair-accessory-stbom20229-20190823-25986-1b0tl5y.jpg', 'https://images.voylla.com/i/885389/large/southern-bling-lakshmi-motif-hair-accessory-stbom20229-20190823-25986-tt16ph.jpg', 'https://images.voylla.com/voylla_iso_cert_13_08_19.jpg', 'https://images.voylla.com/voylla_store_map_13_08_19.jpg']",Southern Bling Lakshmi Motif Hair Accessory,1549.0,"Goddess Lakshmi motif hair accessory made from brass. Faux pearls and CZ gems embellished and yellow gold plated. Pair with ethnic looks.
This piece of jewelry comes with the Voylla assurance of quality and durability. Caring for your fashion jewelry: We, at Voylla, take care of every piece of jewelry so that you don't spend hours caring for them. But do remember, fashion jewelry lasts longer when kept dry and free of chemicals. Follow this simple rule: Your jewelry should be the last thing you put on and the first thing you take off.",Hair Accessories,Gold,Geometric,,,,Brass,1 Hair Accessories,Textured,Classic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Voylla Fashions Pvt Ltd J 449-450., RIICO Industrial Area Sitapura Near Chatrala Circle Jaipur, Rajasthan-302022; Phone: +91 76761 11022; Email: help@voylla.com","Voylla Fashions Pvt Ltd, Address: J 449-450., RIICO Industrial Area Sitapura Near Chatrala Circle Jaipur, Rajasthan-302022; Phone: +91 76761 11022; Email: help@voylla.com",1600.0,"['https://images.voylla.com/i/885262/large/southern-bling-temple-inspired-hair-accessory-1-stbom20228-ms-20190823-22555-1v28s5x.jpg', 'https://images.voylla.com/i/885263/large/southern-bling-temple-inspired-hair-accessory-1-stbom20228-20190823-22555-ey2d6s.jpg', 'https://images.voylla.com/i/885264/large/southern-bling-temple-inspired-hair-accessory-1-stbom20228-20190823-22555-19omq4q.jpg', 'https://images.voylla.com/i/885265/large/southern-bling-temple-inspired-hair-accessory-1-stbom20228-20190823-22555-1epg585.jpg', 'https://images.voylla.com/i/885266/large/southern-bling-temple-inspired-hair-accessory-1-stbom20228-20190823-22555-vf4i99.jpg', 'https://images.voylla.com/voylla_iso_cert_13_08_19.jpg', 'https://images.voylla.com/voylla_store_map_13_08_19.jpg']",Southern Bling Temple Inspired Hair Accessory,1549.0,"Hair accessory inspired by temple jewelry and featuring a Goddess Lakshmi motif. Made from brass and yellow gold plated. Pair the faux pearls and CZ gems adorned accessory with traditional attire.
This piece of jewelry comes with the Voylla assurance of quality and durability. Caring for your fashion jewelry: We, at Voylla, take care of every piece of jewelry so that you don't spend hours caring for them. But do remember, fashion jewelry lasts longer when kept dry and free of chemicals. Follow this simple rule: Your jewelry should be the last thing you put on and the first thing you take off.",Hair Accessories,Gold,Geometric,6.99 cm (2.75 inches),8.89 cm (3.5 inches),40.4 gms,Brass,1 Hair Accessories,Textured,Classic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Voylla Fashions Pvt Ltd J 449-450., RIICO Industrial Area Sitapura Near Chatrala Circle Jaipur, Rajasthan-302022; Phone: +91 76761 11022; Email: help@voylla.com","Voylla Fashions Pvt Ltd, Address: J 449-450., RIICO Industrial Area Sitapura Near Chatrala Circle Jaipur, Rajasthan-302022; Phone: +91 76761 11022; Email: help@voylla.com",1600.0,"['https://images.voylla.com/i/704665/large/black-hair-pins-with-stones-jpbom20659-20180627-11599-1tasuus.jpg', 'https://images.voylla.com/voylla_iso_cert_13_08_19.jpg', 'https://images.voylla.com/voylla_store_map_13_08_19.jpg']",Black Hair Pins with Stones ,1549.0,Black Hair Pins with Stones ,Hair Accessories,Black,Geometric,,,8.28 gms,Alloy,2 Hair Clips,Embellished,Classic,2.54 cm (1.0 inches),5.97 cm (2.35 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Voylla Fashions Pvt Ltd J 449-450., RIICO Industrial Area Sitapura Near Chatrala Circle Jaipur, Rajasthan-302022; Phone: +91 76761 11022; Email: help@voylla.com","Voylla Fashions Pvt Ltd, Address: J 449-450., RIICO Industrial Area Sitapura Near Chatrala Circle Jaipur, Rajasthan-302022; Phone: +91 76761 11022; Email: help@voylla.com",1600.0,"['https://images.voylla.com/i/704576/large/school-day-black-straight-hair-clips-jhbom20270-20180627-11599-1du8ow7.jpg', 'https://images.voylla.com/voylla_iso_cert_13_08_19.jpg', 'https://images.voylla.com/voylla_store_map_13_08_19.jpg']",School Day - Black Straight Hair Clips,1549.0,School Day - Black Straight Hair Clips,Hair Accessories,Black,Geometric,,,25.05 gms,Alloy,12 Hair Clips,Plain,Classic,2.5 mm (0.1 inches),6.35 cm (2.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Voylla Fashions Pvt Ltd J 449-450., RIICO Industrial Area Sitapura Near Chatrala Circle Jaipur, Rajasthan-302022; Phone: +91 76761 11022; Email: help@voylla.com","Voylla Fashions Pvt Ltd, Address: J 449-450., RIICO Industrial Area Sitapura Near Chatrala Circle Jaipur, Rajasthan-302022; Phone: +91 76761 11022; Email: help@voylla.com",1600.0,"['https://images.voylla.com/i/704575/large/school-day-curved-black-clips-jhbom20269-20180627-11599-rolin5.jpg', 'https://images.voylla.com/voylla_iso_cert_13_08_19.jpg', 'https://images.voylla.com/voylla_store_map_13_08_19.jpg']",School Day - Curved Black Clips,1549.0,School Day - Curved Black Clips,Hair Accessories,Black,Geometric,,,21.98 gms,Alloy,12 Hair Pins,Plain,Classic,2.5 mm (0.1 inches),5.97 cm (2.35 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Voylla Fashions Pvt Ltd J 449-450., RIICO Industrial Area Sitapura Near Chatrala Circle Jaipur, Rajasthan-302022; Phone: +91 76761 11022; Email: help@voylla.com","Voylla Fashions Pvt Ltd, Address: J 449-450., RIICO Industrial Area Sitapura Near Chatrala Circle Jaipur, Rajasthan-302022; Phone: +91 76761 11022; Email: help@voylla.com",1600.0,"['https://images.voylla.com/i/581633/large/beautiful-gold-plated-meenakshi-cz-juda-pin-blccu26961-ms-20171114-30728-3wtu03.jpg', 'https://images.voylla.com/i/581634/large/beautiful-gold-plated-meenakshi-cz-juda-pin-blccu26961-20171114-30728-1m2is7h.jpg', 'https://images.voylla.com/i/581635/large/beautiful-gold-plated-meenakshi-cz-juda-pin-blccu26961-20171114-30728-1p2w7br.jpg', 'https://images.voylla.com/i/581636/large/beautiful-gold-plated-meenakshi-cz-juda-pin-blccu26961-20171114-30728-14or9s7.jpg', 'https://images.voylla.com/i/581637/large/beautiful-gold-plated-meenakshi-cz-juda-pin-blccu26961-20171114-30728-1bbaug0.jpg', 'https://images.voylla.com/voylla_iso_cert_13_08_19.jpg', 'https://images.voylla.com/voylla_store_map_13_08_19.jpg']",Beautiful Gold Plated Meenakshi CZ Juda Pin,1549.0,"Add class to your ethnic style with this beautiful gold plated meenakshi CZ juda pin. Pair it with a designer saree and low bun for perfect ethnic look. Wear it at a wedding or grand festive occasion.

This piece of jewelry comes with the Voylla assurance of quality and durability.

Caring for your fashion jewelry: We at Voylla take care of every piece of jewelry so that you don't need to spend hours caring for them. But do remember, fashion jewelry lasts longer when kept dry and free of chemicals. Follow this simple rule: Your jewelry should be the last thing you put on and the first thing you take off.",Hair Accessories,Gold,Geometric,,,30.23 gms,Brass,1 Juda Pins,Embellished,Classic,6.35 cm (2.5 inches),11.43 cm (4.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"Voylla Fashions Pvt Ltd J 449-450., RIICO Industrial Area Sitapura Near Chatrala Circle Jaipur, Rajasthan-302022; Phone: +91 76761 11022; Email: help@voylla.com","Voylla Fashions Pvt Ltd, Address: J 449-450., RIICO Industrial Area Sitapura Near Chatrala Circle Jaipur, Rajasthan-302022; Phone: +91 76761 11022; Email: help@voylla.com",250.0,"['https://images.voylla.com/i/1005435/large/maroon-floral-elastic-scrunchie-jpbom20926-20210131-13144-1i9kyx9.jpg', 'https://images.voylla.com/voylla_iso_cert_13_08_19.jpg', 'https://images.voylla.com/voylla_store_map_13_08_19.jpg']",Maroon Floral Elastic Scrunchie ,149.0,Maroon Floral Elastic Scrunchie ,Hair Accessories,Maroon,Geometric,,,3.79 gms,Fabric,1 Hair Band,Embellished,Classic,12.7 mm (0.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"Voylla Fashions Pvt Ltd J 449-450., RIICO Industrial Area Sitapura Near Chatrala Circle Jaipur, Rajasthan-302022; Phone: +91 76761 11022; Email: help@voylla.com","Voylla Fashions Pvt Ltd, Address: J 449-450., RIICO Industrial Area Sitapura Near Chatrala Circle Jaipur, Rajasthan-302022; Phone: +91 76761 11022; Email: help@voylla.com",250.0,"['https://images.voylla.com/i/1005374/large/butterfly-hair-bands-6-jpbom20909-20210131-1028-11d4fox.jpg', 'https://images.voylla.com/voylla_iso_cert_13_08_19.jpg', 'https://images.voylla.com/voylla_store_map_13_08_19.jpg']",Butterfly Hair Bands,149.0,Butterfly Hair Bands,Hair Accessories,Green,Geometric,,,7.75 gms,Fabric,2 Hair Bands,Embellished,Classic,3.81 cm (1.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"Voylla Fashions Pvt Ltd J 449-450., RIICO Industrial Area Sitapura Near Chatrala Circle Jaipur, Rajasthan-302022; Phone: +91 76761 11022; Email: help@voylla.com","Voylla Fashions Pvt Ltd, Address: J 449-450., RIICO Industrial Area Sitapura Near Chatrala Circle Jaipur, Rajasthan-302022; Phone: +91 76761 11022; Email: help@voylla.com",250.0,"['https://images.voylla.com/i/1005366/large/dark-green-banana-clip-jpbom21007-20210131-1028-aluj48.jpg', 'https://images.voylla.com/i/1005367/large/dark-green-banana-clip-jpbom21007-20210131-1028-ag3iw8.jpg', 'https://images.voylla.com/voylla_iso_cert_13_08_19.jpg', 'https://images.voylla.com/voylla_store_map_13_08_19.jpg']",Dark Green Banana Clip,149.0,Dark Green Banana Clip,Hair Accessories,Dark Green,Geometric,,,2.99 gms,Plastic,1 Hair Clip,Plain,Classic,2.54 cm (1.0 inches),5.08 cm (2.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Voylla Fashions Pvt Ltd J 449-450., RIICO Industrial Area Sitapura Near Chatrala Circle Jaipur, Rajasthan-302022; Phone: +91 76761 11022; Email: help@voylla.com","Voylla Fashions Pvt Ltd, Address: J 449-450., RIICO Industrial Area Sitapura Near Chatrala Circle Jaipur, Rajasthan-302022; Phone: +91 76761 11022; Email: help@voylla.com",250.0,"['https://images.voylla.com/i/1005208/large/brown-n-cream-hair-scrunchie-jpbom20941-20210127-18937-nm784l.jpg', 'https://images.voylla.com/voylla_iso_cert_13_08_19.jpg', 'https://images.voylla.com/voylla_store_map_13_08_19.jpg']",Brown-n-Cream Hair Scrunchie ,149.0,Brown-n-Cream Hair Scrunchie ,Hair Accessories,Brown,Geometric,,,2.74 gms,Plastic,1 Hair Band,Plain,Classic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
